"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2024","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","63920","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2024","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","101357","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2024","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","12885","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2024","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","18730","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2024","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","56914","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2024","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","88967","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2024","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","11536","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2024","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","14166","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2024","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","51814","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2024","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","81114","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2024","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","10620","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2024","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","10898","Million Number of shares","Normal","","40","Turnover of shares"
